word,shows,show_count
case,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cast,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cat,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
catch,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
caught,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cause,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cave,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
celebrate,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
celebration,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cell,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
center,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
century,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
ceremony,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
certain,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
certainly,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chain,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chair,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
challenge,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chance,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
change,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chaos,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
character,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
charge,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chase,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chat,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cheap,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cheat,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
check,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cheek,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
